envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
477	6273000	6729000	6129000	5769000	6249000	6489000	
478	6318000	6846000	6126000	5886000	6246000	6486000	
479	6339000	6843000	6123000	5883000	6363000	6483000	
480	6360000	6840000	6120000	6e+06	6360000	6480000	
481	6381000	6957000	6117000	5997000	6357000	6477000	
482	6378000	6954000	6114000	5994000	6354000	6474000	
483	6399000	6951000	6111000	5991000	6471000	6471000	
484	6396000	6948000	6108000	5988000	6468000	6468000	
485	6393000	6945000	6105000	5985000	6465000	6465000	
486	6438000	6942000	6222000	6102000	6462000	6462000	
487	6459000	7059000	6219000	6099000	6459000	6459000	
488	6456000	7056000	6216000	6096000	6456000	6456000	
489	6453000	7053000	6213000	6093000	6453000	6453000	
490	6450000	7050000	6210000	6090000	6450000	6450000	
491	6447000	7047000	6207000	6087000	6447000	6447000	
492	6492000	7164000	6204000	6084000	6444000	6564000	
493	6513000	7161000	6201000	6081000	6561000	6561000	
494	6558000	7278000	6198000	6078000	6558000	6678000	
495	6555000	7275000	6195000	6075000	6555000	6675000	
496	6576000	7272000	6192000	6192000	6552000	6672000	
497	6573000	7269000	6189000	6189000	6549000	6669000	
498	6594000	7266000	6306000	6186000	6546000	6666000	
499	6591000	7263000	6303000	6183000	6543000	6663000	
500	6612000	7260000	6300000	6180000	6660000	6660000	
501	6633000	7377000	6297000	6177000	6657000	6657000	
502	6654000	7374000	6294000	6294000	6654000	6654000	
503	6675000	7371000	6291000	6291000	6771000	6651000	
504	6672000	7368000	6288000	6288000	6768000	6648000	
505	6669000	7365000	6285000	6285000	6765000	6645000	
506	6690000	7362000	6282000	6402000	6762000	6642000	
507	6711000	7479000	6279000	6399000	6759000	6639000	
508	6756000	7476000	6276000	6516000	6876000	6636000	
509	6777000	7473000	6273000	6633000	6873000	6633000	
510	6822000	7470000	6390000	6630000	6870000	6750000	
511	6843000	7467000	6507000	6627000	6867000	6747000	
512	6864000	7464000	6504000	6624000	6864000	6864000	
513	6885000	7461000	6621000	6621000	6861000	6861000	
514	6882000	7458000	6618000	6618000	6858000	6858000	
515	6927000	7455000	6615000	6735000	6855000	6975000	
516	6972000	7572000	6732000	6732000	6852000	6972000	
517	6969000	7569000	6729000	6729000	6849000	6969000	
518	7014000	7566000	6726000	6846000	6966000	6966000	
519	7035000	7563000	6843000	6843000	6963000	6963000	
520	7032000	7560000	6840000	6840000	6960000	6960000	
521	7053000	7557000	6837000	6837000	7077000	6957000	
522	7050000	7554000	6834000	6834000	7074000	6954000	
523	7095000	7671000	6951000	6831000	7071000	6951000	
524	7116000	7668000	7068000	6828000	7068000	6948000	
525	7113000	7665000	7065000	6825000	7065000	6945000	
526	7110000	7662000	7062000	6822000	7062000	6942000	
527	7131000	7659000	7059000	6819000	7059000	7059000	
528	7128000	7656000	7056000	6816000	7056000	7056000	
529	7125000	7653000	7053000	6813000	7053000	7053000	
530	7122000	7650000	7050000	6810000	7050000	7050000	
531	7119000	7647000	7047000	6807000	7047000	7047000	
532	7164000	7764000	7044000	6924000	7044000	7044000	
